"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"YBR170C"	438.779365247709	0.58699357018834	0.092173668571274	4.96512070159153e-12	1.52526651833003e-10
"YBR177C"	2864.66063689851	0.144118013769827	0.0779359503499652	0.00011724388246727	0.000874632108729826
"YBR208C"	5876.16217135949	0.0225603956536349	0.0863143125414394	8.46050143128109e-06	8.92766234498265e-05
"YBR255C-A"	75.7513206812027	0.369775867180319	0.147397809786314	1.43445017197845e-06	1.82753399817565e-05
"YBR291C"	1225.52474522668	0.00851818511249058	0.0725952653652362	8.40663042111799e-14	3.0533253253276e-12
"YCL021W-A"	327.644472899502	0.0143609174476221	0.0796337766415591	1.36853088374741e-56	2.24918050743887e-54
"YCL026C-B"	109.769079558081	0.262309985931873	0.333096488469313	5.06845140778336e-07	7.13490354491816e-06
"YCL050C"	666.469229342625	0.00359496330813084	0.0647556247867914	4.46477466075556e-07	6.45086343292463e-06
"YCL057W"	2000.21033554359	0.384012317177934	0.066947074933422	1.76593676090185e-11	5.0475079418125e-10
"YCR018C"	78.0933113377078	0.0127399886434723	0.0852531760625267	9.14391182916529e-12	2.72000345542682e-10
"YCR027C"	135.340939366117	0.015504569275854	0.0680033423893959	1.58968370649862e-06	2.00586961353588e-05
"YCR036W"	343.0544053775	0.0600879341387077	0.0757988551622273	7.01670310880512e-07	9.65016866888805e-06
"YCR043C"	365.710172792507	0.00839239588796524	0.0550025193536495	1.54659611500282e-09	3.34451409869361e-08
"YCR072C"	541.643358118152	0.0116177688349094	0.074777280393644	0.000136921824695553	0.000995712472951953
"YCR089W"	771.332296842933	0.0162211117185161	0.085719923292061	2.08556973822337e-05	0.00019812912513122
"YCR106W"	368.334166387985	0.0259006113530605	0.0515203050569905	6.99070188150932e-08	1.1783813889498e-06
"YCR107W"	159.412009184117	0.047111907839651	0.078511860046862	4.38140217318904e-06	5.00152555124416e-05
"YDL007W"	928.386649219549	0.600099014458426	0.074341826199706	1.53736701011693e-25	1.18901773229514e-23
"YDL037C"	307.636814125668	0.0487956571726616	0.106734113286028	5.34482851932132e-06	6.01659292568807e-05
"YDL042C"	162.904909935755	0.0198353026144782	0.0660413923647596	3.21824996207119e-295	4.2313550501312e-292
"YDL049C"	169.501572521945	0.0504814682855556	0.0922345493846797	3.38212252424393e-06	3.98460098107161e-05
"YDL061C"	1816.29077397676	0.032216102147453	0.0723186373953142	4.34090813142244e-05	0.000377475265290623
"YDL070W"	891.491868258282	0.316551445126043	0.0865115824692623	9.11206823269196e-06	9.52348752968473e-05
"YDL097C"	980.281370291883	0.462746581010868	0.0910772417409113	5.31382505231531e-13	1.80067453061448e-11
"YDL100C"	1266.30583849416	0.414987480376632	0.0574874082199723	6.58968807927142e-19	3.55086962566642e-17
"YDL126C"	10287.5986537978	0.564675765534351	0.054030109697366	6.56278889978158e-35	6.1633963181663e-33
"YDL132W"	757.243049812715	0.116898004409378	0.0852840052517864	2.05599442431311e-06	2.53110624446337e-05
"YDL147W"	1067.97654195379	0.487420835935974	0.0906844550978967	2.7039806171919e-10	6.58369206571093e-09
"YDL149W"	220.044702056447	0.202309124497607	0.100234704074802	9.96237348204165e-05	0.000770400348896655
"YDL171C"	25399.4424415876	0.0196226419339858	0.0695684146070083	1.54292605108651e-06	1.95061458843129e-05
"YDL173W"	338.313803178534	0.0658174779181094	0.0821163626286058	1.15059639727732e-06	1.50378145441374e-05
"YDL198C"	1345.93670422119	0.104043497658358	0.121949180682904	4.6271301308597e-07	6.61533665465589e-06
"YDL210W"	142.380760158756	0.0651537605370396	0.122305558357075	3.41510333278351e-06	4.00908737673549e-05
"YDL212W"	1595.41393105587	0.000735534036319164	0.0681088673308836	6.72755662290743e-05	0.000552146782009906
"YDL224C"	1021.81155096065	0.0496428771626961	0.0632664283852222	1.11262756097595e-30	9.49923842318943e-29
"YDL231C"	1477.07905769331	0.0741995065579019	0.100331157292173	5.79772429706204e-09	1.18000741575498e-07
"YDL237W"	783.061345471616	0.0267938508107127	0.0737917895879287	7.74802751561088e-05	0.00062116503521495
"YDL238C"	270.927848150187	0.32549113694468	0.145096007076297	5.56168258030859e-13	1.87500006579224e-11
"YDR001C"	1046.14881383562	0.00395238477557886	0.0644209765079586	2.75327714015404e-07	4.18982498133626e-06
"YDR019C"	1117.80733115019	0.00635233397090162	0.0811064829089252	1.02511036795091e-06	1.36418533581159e-05
"YDR030C"	44.1109973854645	0.026947091049803	0.0817232745698518	2.31773508792083e-05	0.000217979835021338
"YDR090C"	344.058548903622	0.0978481237416253	0.131155180025391	6.20389687405184e-07	8.62249853065894e-06
"YDR109C"	248.517825894621	0.0910469488500966	0.0852425842350259	1.83695448425151e-42	2.08209289301197e-40
"YDR110W"	138.858446256844	0.00695231369073144	0.0682176640791435	2.087062776708e-200	1.52448341045316e-197
"YDR168W"	462.449259407484	0.0648866617755464	0.084974974888905	8.39656698694469e-06	8.88873291017301e-05
"YDR177W"	356.063143741115	0.198674438144951	0.0764509275794497	4.22150113240377e-10	9.87620941082646e-09
"YDR212W"	3333.88338656326	0.318921849806062	0.0854800435209612	1.07167169663416e-07	1.73526348120025e-06
"YDR225W"	2614.81479164536	0.0444623447024438	0.0610948008648409	2.45228846110919e-09	5.21726354153133e-08
"YDR260C"	93.9796407123521	0.444438760021316	0.134268056050048	5.8164267011333e-05	0.000487097950742042
"YDR262W"	515.876957185738	0.191283499272257	0.121157303639116	7.03962578915175e-11	1.8660685458824e-09
"YDR270W"	480.472414875288	0.430246849948631	0.132793828370289	2.42426002247942e-05	0.000226057948762833
"YDR276C"	1359.61020450774	0.000564354969935367	0.0692348779350677	0.000104606167594414	0.000799629006704275
"YDR281C"	16.9923214637392	0.0527858832375418	0.106559748332432	1.31505392512675e-05	0.000132189059690875
"YDR296W"	149.845852755971	0.0304261956943044	0.0746566144059578	6.12439088529571e-05	0.000507714321310643
"YDR304C"	638.030229614182	0.0292041343767299	0.0784821913097735	1.42179768907516e-06	1.81493165203497e-05
"YDR330W"	240.116143014623	0.0481437440914436	0.0651650242904706	3.16920938115806e-05	0.000284622711362474
"YDR352W"	410.679577233325	0.0142195059151993	0.0707576763930218	5.42717191633799e-05	0.000459179255830192
"YDR358W"	174.195723581422	0.030420684195044	0.0748325078097978	8.90973037957967e-05	0.000699791726587297
"YDR363W-A"	161.722484872031	0.472093101705926	0.159617446051301	9.19439182244762e-05	0.000719570617152031
"YDR365W-B"	1070.16982474323	0.0150903519756349	0.0832539433547121	9.25261409766008e-57	1.55965859174404e-54
"YDR394W"	1140.05659764093	0.507165325802754	0.0807193872060143	4.41141314097175e-13	1.53442486712954e-11
"YDR409W"	274.437841139638	0.0947795617833399	0.0842284190173824	3.65812881622428e-07	5.35602201288606e-06
"YDR410C"	256.147349165676	0.0145928367833285	0.0804579646160557	1.71713376172572e-37	1.76381833587264e-35
"YDR427W"	890.467373142477	0.332751856417184	0.085477902391285	3.19862958955661e-07	4.735988946339e-06
"YDR461W"	425.413281716883	0.00813353438996309	0.0833250363489407	4.02186651324296e-79	1.14955436774171e-76
"YDR502C"	14197.3749132402	0.2053320080493	0.098854621213594	4.45830963323084e-13	1.54257513309787e-11
"YDR506C"	135.572417891058	0.306010974425184	0.151797534642434	6.31759864910365e-06	6.9815477201208e-05
"YDR508C"	953.490846998228	0.00565426126908237	0.0823175180380795	2.82687453205503e-10	6.83230631387123e-09
"YDR536W"	69.9111798985227	0.00207295594673575	0.0865720660236182	1.39099670734877e-15	5.61006892890234e-14
"YEL006W"	378.000317217097	0.154200050101089	0.0791977421205921	4.69353759135532e-18	2.31994858086992e-16
"YEL007W"	753.767067891084	0.107639732986226	0.0987921496669262	5.45551022032806e-05	0.000460983601393788
"YEL023C"	125.175282500446	0.106836604557241	0.10574271756885	1.54216094240558e-06	1.95061458843129e-05
"YEL025C"	827.30936144014	0.0193628934894477	0.0633146602242663	5.05681222586636e-30	4.15543544660568e-28
"YEL027W"	4881.31970458726	0.00284706934474202	0.0781655674087192	9.74542990313934e-05	0.000754610791322002
"YEL037C"	814.788074214907	0.554487106992383	0.116616329357791	1.33742918741774e-06	1.71055631869343e-05
"YEL040W"	5512.90927051057	0.0494948038008008	0.082891266228077	7.92910722229799e-16	3.27836169052748e-14
"YEL062W"	246.050281908695	0.14301228873644	0.0861554429426943	3.95770305069137e-07	5.75618138390377e-06
"YER010C"	320.075416633279	0.0226550961824352	0.0574387072292507	0.000100369397942452	0.000772780362809156
"YER012W"	739.773650855603	0.566565056341653	0.087515702177016	1.97688521672704e-14	7.46899046825493e-13
"YER014W"	122.675560898669	0.0345159084137865	0.0789546898235157	2.74117758134393e-06	3.30045813548626e-05
"YER021W"	1813.94485026728	0.394923990126628	0.0743452332739408	1.16085140639888e-10	2.98103013502587e-09
"YER042W"	396.160515874702	0.464131316330898	0.131913270393274	7.01462842769235e-08	1.17939046761252e-06
"YER047C"	200.611819746	0.0593639573510687	0.0809584203822965	7.49578265835657e-06	8.0650204903496e-05
"YER048C"	541.781722718684	0.0538497462317109	0.0597408562724008	2.23917354709288e-05	0.000211195507870712
"YER056C"	5092.89337978829	0.0731130698548162	0.119011929889473	6.14027692486445e-06	6.81861157163157e-05
"YER075C"	371.108745851886	0.0235325138497313	0.059582708177716	7.23410131739059e-07	9.92838873914942e-06
"YER094C"	1157.53859199142	0.574732820056798	0.0907817632798542	2.21396647999971e-12	7.09981250708201e-11
"YER130C"	347.473028181811	0.0151659216396853	0.0802380606012835	4.73174171440172e-05	0.000405560235077926
"YER142C"	97.9932558491131	1.00112842820109	0.130316527000003	1.62631046629476e-18	8.41839764206436e-17
"YER143W"	230.016821595495	0.671271546476031	0.128377397844164	2.23752936253474e-09	4.77581754198162e-08
"YER186C"	306.323161007858	0.021452422139159	0.0583342675540234	4.48311592807344e-13	1.54303686445837e-11
"YFL007W"	4746.0513414089	0.365630309950357	0.0840919626450321	3.81853690254597e-09	7.99460560424752e-08
"YFL021W"	1053.32075108217	0.0316105380388727	0.0892544644564943	1.79159744123087e-05	0.00017371624747274
"YFL044C"	288.853134682041	0.874707187052003	0.0933359753854841	1.64924601615733e-28	1.32221259880711e-26
"YFL058W"	24.1593293558002	0.0102170764071863	0.0861967035957384	5.16905198172722e-07	7.26097173672538e-06
"YFL060C"	10.8966356223056	0.013152982637886	0.0862947823156973	2.28367922418136e-10	5.66524800745973e-09
"YFL061W"	6.75291408951991	0.0173149428491609	0.0889051525842968	1.51562800345199e-09	3.28836253950277e-08
"YFR003C"	79.8742829169038	0.384688115933037	0.150710607090721	2.01616493569998e-05	0.000192929669392892
"YFR004W"	697.570917959983	0.561368744842208	0.0806107292146989	1.84228751119056e-18	9.38852565780366e-17
"YFR006W"	696.931244374992	0.300904537236167	0.0779564233751549	4.25189751310207e-11	1.15028700621946e-09
"YFR010W"	747.358235341898	0.335315980143407	0.0869892733852148	4.27970547775216e-06	4.9015302806172e-05
"YFR016C"	357.342535101692	0.0033645452166068	0.0676593394259391	7.97485370113611e-09	1.55108545062925e-07
"YFR033C"	572.003718423248	0.0364886825292782	0.0668414396317953	1.38736721001303e-09	3.04018401287522e-08
"YFR050C"	1156.62060403517	0.567967542047454	0.073018839301582	7.26366253558614e-23	4.77513175089433e-21
"YFR052W"	611.415369606587	0.583706988318814	0.0907298534951605	3.88694792488414e-14	1.43555031787575e-12
