"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"YDR177W"	356.063143741115	1.94403829098769e-06	0.00144245088800037	4.22150113240377e-10	9.87620941082646e-09
"YDR210W-B"	49.591656517491	7.10381516385293e-06	0.0014426636484952	1.46070224150404e-09	3.17968759458529e-08
"YDR211W"	1430.48613488554	4.68276865062847e-06	0.00144251450546518	1.64104683319817e-06	2.06276135400473e-05
"YDR212W"	3333.88338656326	7.15586305103532e-06	0.00144250051761684	1.07167169663416e-07	1.73526348120025e-06
"YDR213W"	192.849472781376	1.06488682504777e-05	0.00144264110264559	1.30692620794633e-06	1.67480173314604e-05
"YDR233C"	3639.83062783703	3.4696459185501e-07	0.00144255176450757	1.21208596891367e-05	0.000123730639124821
"YDR239C"	199.871713806016	3.57370950247921e-06	0.0014425286008672	0.000132341060667282	0.000966677925363014
"YDR260C"	93.9796407123521	1.33955917562114e-07	0.00144261637656069	5.8164267011333e-05	0.000487097950742042
"YDR261C-D"	449.861206264529	4.03578281524106e-06	0.00144267401864184	3.32873815026849e-45	4.29080874507158e-43
"YDR261W-B"	302.544437123802	1.22511929033604e-05	0.0014426450908732	6.03059532345621e-113	2.83179526117151e-110
"YDR262W"	515.876957185738	4.23959042993227e-06	0.00144258497414503	7.03962578915175e-11	1.8660685458824e-09
"YDR270W"	480.472414875288	8.44897255056064e-06	0.00144262179381466	2.42426002247942e-05	0.000226057948762833
"YDR296W"	149.845852755971	1.24106376140326e-05	0.00144262592528457	6.12439088529571e-05	0.000507714321310643
"YDR330W"	240.116143014623	4.76359275342227e-06	0.00144249592988159	3.16920938115806e-05	0.000284622711362474
"YDR352W"	410.679577233325	5.26484591935686e-07	0.00144259515396717	5.42717191633799e-05	0.000459179255830192
"YDR365W-B"	1070.16982474323	3.65641190277692e-06	0.00144267097871013	9.25261409766008e-57	1.55965859174404e-54
"YDR394W"	1140.05659764093	3.13127982287113e-06	0.00144248472969968	4.41141314097175e-13	1.53442486712954e-11
"YDR395W"	2315.11781747741	1.84858133467242e-06	0.00144229430770669	4.5119057065417e-06	5.14060105975826e-05
"YDR405W"	80.4252127125242	6.00530850653545e-06	0.00144261978850941	9.05354239374884e-08	1.49167888963671e-06
"YDR409W"	274.437841139638	1.49061399201857e-05	0.00144257495599253	3.65812881622428e-07	5.35602201288606e-06
"YDR410C"	256.147349165676	8.68359939448803e-06	0.00144266926312238	1.71713376172572e-37	1.76381833587264e-35
"YDR443C"	454.453415254447	1.13839085319147e-06	0.00144244655551235	3.76391882082153e-05	0.000333028295128947
"YDR461W"	425.413281716883	3.04264555455648e-06	0.00144267695161434	4.02186651324296e-79	1.14955436774171e-76
"YDR506C"	135.572417891058	8.12581462727327e-06	0.00144263207289354	6.31759864910365e-06	6.9815477201208e-05
"YDR508C"	953.490846998228	6.67150177906489e-06	0.00144267864634386	2.82687453205503e-10	6.83230631387123e-09
"YDR536W"	69.9111798985227	6.88644334461281e-07	0.00144269089905341	1.39099670734877e-15	5.61006892890234e-14
"YDR538W"	237.714302245507	1.11483121660567e-05	0.00144264452481122	2.80602168667314e-08	5.01271374135576e-07
"YEL006W"	378.000317217097	1.8903157687142e-06	0.00144247106954595	4.69353759135532e-18	2.31994858086992e-16
"YEL009C"	10364.3556139536	8.46439105220468e-06	0.00144235946531284	1.3977998845114e-10	3.54792912771348e-09
"YEL015W"	357.925289485228	1.24343167774712e-06	0.00144251351874982	4.16186247075538e-05	0.000364801118436612
"YEL023C"	125.175282500446	2.44696785528856e-06	0.0014425935114337	1.54216094240558e-06	1.95061458843129e-05
"YEL025C"	827.30936144014	9.5891121745765e-06	0.0014425385944307	5.05681222586636e-30	4.15543544660568e-28
"YEL027W"	4881.31970458726	5.17910056638915e-06	0.00144265424716601	9.74542990313934e-05	0.000754610791322002
"YEL037C"	814.788074214907	1.46834214535089e-05	0.00144262607217267	1.33742918741774e-06	1.71055631869343e-05
"YEL040W"	5512.90927051057	1.27860653509673e-05	0.00144263579111615	7.92910722229799e-16	3.27836169052748e-14
"YEL042W"	2260.93076215706	2.63332441465604e-06	0.00144253978957046	4.01875952159482e-05	0.000353672357362308
"YEL055C"	1590.57334676748	2.32071792978594e-06	0.00144258590530692	8.62909157094884e-06	9.06192459862903e-05
"YEL062W"	246.050281908695	2.11838962359261e-06	0.00144250978755704	3.95770305069137e-07	5.75618138390377e-06
"YER024W"	821.591396300248	3.72061799429643e-06	0.00144265052785538	5.52590111718453e-06	6.19919350586538e-05
"YER031C"	324.489549274443	6.4341505175381e-06	0.00144239244994722	0.000107508532754792	0.000814240892085256
"YER047C"	200.611819746	1.22228700931491e-05	0.00144260551744866	7.49578265835657e-06	8.0650204903496e-05
"YER056C"	5092.89337978829	7.3320883044826e-06	0.00144267213942926	6.14027692486445e-06	6.81861157163157e-05
"YER075C"	371.108745851886	8.30542422654183e-06	0.00144248613109338	7.23410131739059e-07	9.92838873914942e-06
"YER091C"	117015.784316252	2.96553548680318e-06	0.00144262487911424	7.65370386736057e-05	0.00061654501477683
"YER094C"	1157.53859199142	5.87771202737304e-06	0.00144253292224272	2.21396647999971e-12	7.09981250708201e-11
"YER130C"	347.473028181811	2.69826970523496e-07	0.00144265343994803	4.73174171440172e-05	0.000405560235077926
"YER138W-A"	23.6313729580003	3.37225222904823e-06	0.00144267208436288	5.29198530679556e-12	1.61811680962205e-10
"YER142C"	97.9932558491131	2.23743588822481e-06	0.00144262395236782	1.62631046629476e-18	8.41839764206436e-17
"YER143W"	230.016821595495	3.1547595792273e-06	0.00144261369474678	2.23752936253474e-09	4.77581754198162e-08
"YER167W"	503.988681624162	1.02304347741583e-06	0.0014425683667518	0.000103139221958521	0.000790253199481718
"YER186C"	306.323161007858	1.15296105736411e-05	0.00144248359439657	4.48311592807344e-13	1.54303686445837e-11
"YFL002W-A"	34.3682057281138	4.10183539961263e-06	0.00144266078269516	5.69679798651978e-39	6.04044354248081e-37
"YFL007W"	4746.0513414089	1.33486597430987e-05	0.00144252010774937	3.81853690254597e-09	7.99460560424752e-08
"YFL021W"	1053.32075108217	2.88088331276883e-06	0.00144267168021042	1.79159744123087e-05	0.00017371624747274
"YFL026W"	4761.30647673726	8.03007260226669e-06	0.00144265795878687	1.13460676396919e-214	9.32363108291682e-212
"YFL027C"	169.075086181525	7.79543353152058e-06	0.00144257664280352	4.66917980747387e-37	4.72233662374357e-35
"YFL036W"	1106.16354032079	2.05736001629073e-05	0.00144224010228871	1.72029082570372e-05	0.000167543583528537
"YFL044C"	288.853134682041	8.71167515566005e-06	0.00144256143375021	1.64924601615733e-28	1.32221259880711e-26
"YFL058W"	24.1593293558002	1.50401119884623e-06	0.00144268578858956	5.16905198172722e-07	7.26097173672538e-06
