"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGR245C"	1077.49449565145	-0.289813900525084	0.308516759650204	33.4937898671568	8.42378820505658e-06	0.000478879596142004
"YHR094C"	5736.81473640774	-0.101345679156054	0.462890012044752	37.3985982297887	1.4722678507962e-06	0.000131005555887872
"YHR143W"	3106.44874145337	-0.789831842982485	0.378450209415491	45.0937366839116	4.48371899478216e-08	8.1401195169787e-06
"YHR197W"	745.814640817176	-0.373875694240321	0.219740147759101	34.8266623294502	4.65586226037067e-06	0.000311942771444835
"YIL119C"	396.687742560452	-1.88521910639349	0.326676581706783	51.5447335075816	2.3022493579293e-09	7.62179963907418e-07
"YIL164C"	344.406984603415	-0.70613366526558	0.351877526791289	33.4061923449619	8.75768883077608e-06	0.000489902661751908
"YIL165C"	272.495948060268	-0.782868988470187	0.27253893476321	37.068812415196	1.70732701504763e-06	0.000143415469264001
"YIL169C"	374.786039754149	-1.2179439454934	0.572070179323676	43.132310233238	1.09818368246411e-07	1.62646783287053e-05
"YIR029W"	491.740552042963	-2.28210822588814	0.450703910647917	36.0990611271048	2.6370731283454e-06	0.000200560102247674
"YIR031C"	2503.42019187933	-1.84860591306563	0.382790807031005	33.8381428255242	7.22923095451539e-06	0.00042827486117908
"YIR032C"	284.294149217934	-1.87789758443052	0.351195543502422	33.3974343781689	8.79178550763018e-06	0.000489902661751908
"YIR042C"	110.320861774772	-0.212010591959744	0.33599122622749	35.4829249980095	3.47370066760029e-06	0.000247468194395626
"YJL033W"	827.726405706716	-0.522428760819633	0.299971996410818	33.5391064236157	8.25604080666077e-06	0.000474132629182519
"YJL050W"	1914.95067899342	-0.517930297436315	0.278668556424877	40.281544683475	4.0101078394255e-07	5.12929248188334e-05
"YJL109C"	5449.91066199852	-0.491834772286041	0.191448887319069	43.4169464863888	9.64533038301902e-08	1.46713295663868e-05
"YJL172W"	16072.7074149312	-0.908303145815524	0.310037975227793	44.2521156905536	6.5880923705192e-08	1.05936525317949e-05
"YKL014C"	2635.45932992492	-0.245308141566333	0.189303676634266	52.4971629086773	1.48124959156153e-09	5.55764846753886e-07
"YKL078W"	314.944090420785	-0.556099582815731	0.303093848689304	38.9449226500848	7.33774453684751e-07	8.42670656446653e-05
"YKL218C"	482.510553432157	-0.373072267499695	0.279493490454167	38.7864937466477	7.8814417107742e-07	8.53014499004561e-05
"YKR034W"	402.165778615246	-2.20489062034752	0.357769082166851	70.3654080835686	3.44072071188306e-13	4.84109404161947e-10
"YKR039W"	21427.9314657457	-1.38150841357458	0.45474760751029	32.6836306171311	1.20625909911138e-05	0.000628595019425817
"YLL008W"	940.950539167469	-0.229479870480809	0.263573630907684	40.8043890102404	3.16426772461059e-07	4.24011875097819e-05
"YLR197W"	5408.34971040038	-0.602420423264733	0.180760829028759	37.4703855287883	1.42552735100282e-06	0.000131005555887872
"YLR286C"	9650.36544745795	-0.426105618004475	0.270708486518464	44.9269758292344	4.83920973464131e-08	8.25305223835191e-06
"YLR304C"	11596.6850827088	-0.736194317259606	0.340779071522814	36.5408779489381	2.16356686690706e-06	0.000171562605870141
"YMR095C"	77.7051021268161	-0.95366407834587	0.669033313043663	32.5315545685793	1.29020689226093e-05	0.000660618561077937
"YMR096W"	561.47855265488	-0.219083986405541	0.333739707270712	33.2279501823882	9.47817266124378e-06	0.000508030054642667
