"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YLR417W"	256.523834918097	-0.364029761177157	0.285119528915995	35.7876588064854	3.03133199342232e-06	0.000226160809197043
"YMR011W"	2309.84056337962	-1.16106153598581	0.627770721554157	37.5731649087151	1.36116369996286e-06	0.000128691608120853
"YMR095C"	77.7051021268161	-2.17700004784722	0.634827129679911	32.5315545685793	1.29020689226093e-05	0.000660618561077937
"YMR096W"	561.47855265488	-0.525341100649535	0.32227966601493	33.2279501823882	9.47817266124378e-06	0.000508030054642667
"YMR259C"	1256.91916973386	-0.00014012688023031	0.1540214742741	38.147588261131	1.0511430649464e-06	0.000103786546833656
"YMR309C"	4170.98245062803	-0.0666153809124746	0.124507303157578	37.34726064687	1.50662448742735e-06	0.000131005555887872
"YNR060W"	148.065010572711	-0.855044271511554	0.489166019681991	45.3103802739108	4.06045086629543e-08	7.72299983035081e-06
"YNR064C"	34.8827898302299	-1.19211802008663	0.835805985462282	33.6147310607773	7.98345098988445e-06	0.000463204764650203
"YOL104C"	227.14747343087	-1.50691810037633	0.493431414442699	37.3705511851853	1.49094014050206e-06	0.000131005555887872
"YOR208W"	454.460465513773	-0.142566320064287	0.204925409225342	33.8075228161798	7.32826254042047e-06	0.00042961939143215
"YOR298C-A"	1318.41332323148	-0.0284825287635218	0.272621281071243	33.9021770042204	7.02640250223137e-06	0.000424362488438357
"YOR306C"	245.809308554818	-0.434671048215895	0.411141098221068	40.47660602248	3.6710310869459e-07	4.80478208310035e-05
"YOR310C"	3117.05633363562	-0.103115135753661	0.17407978533897	40.8278653673005	3.13076601854276e-07	4.24011875097819e-05
"YOR328W"	520.950813970235	-0.646678793088171	0.358370860144048	49.0687329105315	7.22346863058629e-09	1.84789461149726e-06
"YPL016W"	617.680058561611	-0.367876280568816	0.211451366868083	38.8556923997929	7.63920651773871e-07	8.43008907486931e-05
"YPL110C"	389.952052151904	-0.272852257952403	0.218411034794202	36.3952243595961	2.30950376916522e-06	0.000178053249491258
"YPL111W"	324.298870938061	-0.513601691616428	0.327676011890301	35.7709594778173	3.05405499271061e-06	0.000226160809197043
"YPL126W"	1827.29902775499	-0.00764377993429512	0.185464069792368	34.5536180579485	5.25830901079758e-06	0.000340158196698491
"YPL265W"	3270.49333932509	-1.23636955083017	0.403484188253711	36.5400736569228	2.1643470179069e-06	0.000171562605870141
"YPR154W"	469.30001936654	-0.267683586542456	0.268925239775362	63.8631239686584	7.36027044972565e-12	6.90393368184266e-09
